"Back to news","Обратно к новостям"
"Body","Полный текст"
"Category name","Имя категории"
"Delete Item","Удалить"
"Is Active","Активно"
"Meta title","Meta заголовок"
"more","еще"
"News","Новости"
"News category","Категории новостей"
"Parent category","Родительская категория"
"Remove Category","Удалить категории"
"Remove News","Удалить новости"
"Save Item","Сохранить"
"Short text","Короткий текст"
"URL Key","URL ключ"
"Share on Facebook","Поделиться в Facebook"
"Share on Twitter","Добавить в Twitter"
"Share on Google+","Поделиться в Google+"
"Pin It","Добавить в Pinterest"
"Print","Распечатать"
